ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,NL_NAME_2,VARNAME_2,TYPE_2,ENGTYPE_2,GBR_adm2_ID,Latitude,Longitude
239,"GBR","United Kingdom",1,"England",105,"Warwickshire","","","Administrative County","Administrative County","125",52.2934,-1.5485
239,"GBR","United Kingdom",1,"England",106,"West Midlands","","","Metropolitan County","Metropolitan County","126",52.4818,-1.8706
239,"GBR","United Kingdom",1,"England",107,"West Sussex","","","Administrative County","Administrative County","127",50.9551,-0.4862
239,"GBR","United Kingdom",1,"England",108,"West Yorkshire","","","Metropolitan County","Metropolitan County","128",53.7422,-1.6794
239,"GBR","United Kingdom",1,"England",109,"Westminster","","","London Borough (city)","London Borough (city)","129",51.5077,-0.1502
239,"GBR","United Kingdom",1,"England",110,"Wiltshire","","","Administrative County","Administrative County","130",51.2972,-1.9429
239,"GBR","United Kingdom",1,"England",111,"Worcestershire","","","Administrative County","Administrative County","131",52.2176,-2.1640
239,"GBR","United Kingdom",1,"England",112,"York","","","Unitary Authority (city)","Unitary Authority (city)","132",53.9412,-1.0758
239,"GBR","United Kingdom",2,"Northern Ireland",113,"Antrim","","","District","District","133",54.6973,-6.2601
239,"GBR","United Kingdom",2,"Northern Ireland",114,"Ards","","","District","District","134",54.5195,-5.6120
239,"GBR","United Kingdom",2,"Northern Ireland",115,"Armagh","","","District","District","135",54.3230,-6.6254
239,"GBR","United Kingdom",2,"Northern Ireland",116,"Ballymena","","","District","District","136",54.8875,-6.2448
239,"GBR","United Kingdom",2,"Northern Ireland",117,"Ballymoney","","","District","District","137",55.0459,-6.4251
239,"GBR","United Kingdom",3,"Scotland",139,"Aberdeen","","Aberdeen City","Unitary District (city)","Unitary District (city)","138",57.1627,-2.1934
239,"GBR","United Kingdom",3,"Scotland",140,"Aberdeenshire","","","Unitary District","Unitary District","139",57.2434,-2.6274
239,"GBR","United Kingdom",3,"Scotland",141,"Angus","","Forfar","Unitary District","Unitary District","140",56.7298,-2.9178
239,"GBR","United Kingdom",3,"Scotland",142,"Argyll and Bute","","Earra-Ghaidheal agus Bòd","Unitary District","Unitary District","141",56.1460,-5.4803
239,"GBR","United Kingdom",3,"Scotland",143,"Clackmannanshire","","","Unitary District","Unitary District","142",56.1472,-3.7318
239,"GBR","United Kingdom",3,"Scotland",144,"Dumfries and Galloway","","","Unitary District","Unitary District","143",55.0760,-3.9532
239,"GBR","United Kingdom",3,"Scotland",145,"Dundee","","Dundee City","Unitary District (city)","Unitary District (city)","144",56.4857,-2.9519
239,"GBR","United Kingdom",3,"Scotland",146,"East Ayrshire","","","Unitary District","Unitary District","145",55.4838,-4.3080
239,"GBR","United Kingdom",3,"Scotland",147,"East Dunbartonshire","","","Unitary District","Unitary District","146",55.9506,-4.2082
239,"GBR","United Kingdom",3,"Scotland",148,"East Lothian","","Haddington","Unitary District","Unitary District","147",55.9373,-2.7042
239,"GBR","United Kingdom",3,"Scotland",149,"East Renfrewshire","","","Unitary District","Unitary District","148",55.7520,-4.3446
239,"GBR","United Kingdom",3,"Scotland",150,"Edinburgh","","Édimbourg|Edimburgo","Unitary District (city)","Unitary District (city)","149",55.9206,-3.2846
239,"GBR","United Kingdom",3,"Scotland",151,"Eilean Siar","","Western Isles","Island Area","Island Area","150",57.9159,-6.8607
239,"GBR","United Kingdom",3,"Scotland",152,"Falkirk","","","Unitary District","Unitary District","151",55.9854,-3.7828
239,"GBR","United Kingdom",3,"Scotland",153,"Fife","","","Unitary District","Unitary District","152",56.2289,-3.1182
